"label","index","nr_pix","rows_with_1","cols_with_1","rows_with_3p","cols_with_3p","aspect_ratio","neigh_1","no_neigh_above","no_neigh_below","no_neigh_left","no_neigh_right","no_neigh_horiz","no_neigh_vert","connected_areas","eyes","custom"
"e",5,23,2,1,4,7,0,1,11,12,5,4,5,18,86,42,10
"e",6,27,4,1,5,6,9,1,14,14,8,8,7,20,83,47,8
"e",7,28,4,0,5,7,1,0,11,10,9,6,7,17,19,44,7
"e",8,24,3,0,3,7,7,1,14,15,5,4,5,20,6,87,10
"f",1,35,7,2,5,6,1,3,7,5,13,10,8,12,97,90,3
"f",2,31,7,2,5,3,2,3,8,6,14,10,8,13,71,9,4
"f",3,23,8,3,2,1,1,4,8,7,13,10,12,11,53,93,5
"f",4,28,8,2,3,2,0,3,11,11,11,9,10,18,42,96,4
"f",5,24,8,1,3,3,1,3,6,6,10,8,9,12,16,1,4
"f",6,27,5,2,3,3,7,4,9,9,11,8,11,16,20,88,5
"f",7,28,6,1,4,4,2,3,8,9,13,11,15,15,56,64,4
"f",8,30,8,1,4,3,4,4,11,11,13,11,13,17,6,22,3
"g",1,35,2,3,8,5,1,0,7,8,11,10,6,16,28,26,5
"g",2,39,2,2,7,7,2,0,6,6,13,8,11,21,57,45,3
"g",3,39,2,3,7,6,9,2,8,9,15,13,15,17,96,55,3
"g",4,38,3,5,8,9,0,2,9,11,13,8,16,25,46,6,3
"g",5,46,1,1,9,9,2,0,8,9,17,12,13,23,58,69,1
"g",6,45,3,5,9,6,0,1,7,7,17,13,14,18,1,43,1
"g",7,41,3,5,6,8,5,1,12,12,11,12,13,23,32,46,3
"g",8,40,1,2,7,7,1,1,7,9,15,14,16,17,63,29,3
"h",1,26,3,3,4,3,4,2,4,3,16,12,11,8,92,59,5
"h",2,30,5,5,6,4,1,1,4,6,16,13,11,9,4,65,4
"h",3,25,6,5,3,3,4,3,3,4,18,13,17,8,60,21,4
"h",4,27,6,2,5,3,5,2,4,4,16,10,11,9,12,52,5
"h",5,32,3,3,7,4,3,2,5,4,20,15,13,8,59,55,4
"h",6,29,5,6,6,3,3,3,5,4,18,14,15,10,95,82,4
"h",7,27,5,4,6,2,3,2,5,4,18,15,16,9,81,13,5
"h",8,28,7,4,4,2,1,2,5,4,20,17,18,8,37,53,3
"i",1,9,9,0,0,1,4,2,2,2,9,9,9,2,64,86,8
"i",2,10,8,1,0,1,5,4,3,3,9,9,8,3,28,25,8
"i",3,10,10,1,0,1,3,4,2,2,10,9,10,3,96,16,7
"i",4,14,8,0,0,2,3,1,3,3,10,10,8,4,25,88,6
"i",5,22,0,0,0,2,0,0,2,4,10,10,0,2,32,43,6
"i",6,16,10,0,2,1,1,2,4,4,12,12,10,4,88,73,5
"i",7,12,12,0,0,1,0,2,2,2,12,12,12,2,15,18,5
